OBJECTID,AGENCY,ST_NAME,S_TYPE,BUREAU,APREC,ABBREV_APREC,PREC,REPDIST,NAME,CommOrg,BASICCAR,p1_db_DBO_POLICE_AREA,PERIMETER,SHAPE_LENG,Shape_Length,Shape_Area,Shape__Area,Shape__Length,Area_in_sqm
75,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1645,1645,non-UA,16A23,16767800,15993.22,0.0481291,0.04804282,0.0001524928,2286475.76953125,5907.6051821593,1557917
76,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1739,1739,UR,17A49,3633765,12210.28,0.03877921,0.0387553,3.304786e-05,495539.2109375,4503.82856396375,337615
77,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1621,1621,UA,16A11,9763753,13480.12,0.04058961,0.04063957,8.87953e-05,1331397.375,4978.92941183372,907162
78,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1654,1654,UA,16A23,17880980,19573.76,0.05925754,0.05934406,0.0001626057,2437948.0859375,7228.03005538659,1661343
79,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1945,1945,UA,19A43,5902099,17855.39,0.05699636,0.05704756,5.367698e-05,804852.15234375,6584.8813100021,548369
80,OT,GLENDALE,Sheriff,,,,0,0,9GLE,,,852287900,190451.2,0.5704415,0.5708799,0.007743197,115990320.148438,70343.7885136682,79181551
81,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1637,1637,non-UA,16A35,13369950,16521.28,0.05143409,0.05139402,0.0001215925,1823174.2265625,6096.82797735268,1242218
82,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1643,1643,UA,16A23,6383400,11627.21,0.03508162,0.03515729,5.805134e-05,870400.3125,4294.12736099021,593088
83,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1655,1655,non-UA,16A35,53592900,29918.91,0.09167119,0.09177878,0.000487356,7306853.9453125,11044.3923889138,4979368
84,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1745,1745,UR,17A49,21582020,21386.74,0.06776324,0.06781801,0.0001962715,2942843.015625,7888.21634095027,2005210
85,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1722,1722,UR,17A23,10728180,14212.98,0.04414428,0.04448229,9.756378e-05,1462837.90234375,5244.14577862724,996767
86,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1747,1747,UR,17A49,10420960,13220.16,0.04087198,0.04081752,9.477038e-05,1420962.70703125,4879.42410673788,968222
87,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1743,1743,UR,17A35,8767905,12681.52,0.039117,0.03911754,7.973695e-05,1195551.125,4680.75004597684,814636
88,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1749,1749,UR,17A49,13558170,15586.1,0.04870262,0.04865704,0.0001233006,1848732.546875,5751.02667609876,1259705
89,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1959,1959,UA,19A79,11722060,16242.18,0.0479839,0.04805414,0.0001065946,1598134.30078125,6001.23372928563,1089103
90,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1954,1954,UA,19A43,13963720,15884.8,0.04649181,0.0466101,0.0001269832,1903864.96484375,5869.9701835585,1297384
91,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1951,1951,UA,19A43,3864576,8191.778,0.0242147,0.02415665,3.514518e-05,526956.41015625,3026.90850347177,359062
92,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1955,1955,UA,19A43,9064134,11935.4,0.03692265,0.03687743,8.24308e-05,1235939.765625,4405.22379385299,842159
93,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1642,1642,UA,16A23,5724177,11312.15,0.03415008,0.034178,5.205483e-05,780466.37109375,4177.7216927131,531839
94,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1958,1958,UA,19A79,13650630,18357.72,0.05376339,0.0538644,0.0001241276,1860929.72265625,6783.9951245427,1268291
95,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1638,1638,non-UA,16A59,12276050,15025.39,0.04717281,0.04696841,0.0001116388,1673849.15234375,5543.8949843976,1140581
96,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1665,1665,non-UA,16A77,33447140,30032.63,0.09057535,0.09048837,0.0003041341,4559492.30078125,11090.8802403427,3107600
97,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1641,1641,UA,16A23,10757240,13632,0.04129451,0.04131293,9.782128e-05,1466588.9296875,5033.879930458,999470
98,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1656,1656,non-UA,16A35,40562410,34562.95,0.1107056,0.1106087,0.0003688661,5530261.6953125,12744.361993916,3768797
